name	length	type	molecule	unit	aliases
chrI	230218	assembled	chrI	primary	I,BK006935.2,NC_001133.9
chrII	813184	assembled	chrII	primary	II,BK006936.2,NC_001134.8
chrIII	316620	assembled	chrIII	primary	III,BK006937.2,NC_001135.5
chrIV	1531933	assembled	chrIV	primary	IV,BK006938.2,NC_001136.10
chrV	576874	assembled	chrV	primary	V,BK006939.2,NC_001137.3
chrVI	270161	assembled	chrVI	primary	VI,BK006940.2,NC_001138.5
chrVII	1090940	assembled	chrVII	primary	VII,BK006941.2,NC_001139.9
chrVIII	562643	assembled	chrVIII	primary	VIII,BK006934.2,NC_001140.6
chrIX	439888	assembled	chrIX	primary	IX,BK006942.2,NC_001141.2
chrX	745751	assembled	chrX	primary	X,BK006943.2,NC_001142.9
chrXI	666816	assembled	chrXI	primary	XI,BK006944.2,NC_001143.9
chrXII	1078177	assembled	chrXII	primary	XII,BK006945.2,NC_001144.5
chrXIII	924431	assembled	chrXIII	primary	XIII,BK006946.2,NC_001145.3
chrXIV	784333	assembled	chrXIV	primary	XIV,BK006947.3,NC_001146.8
chrXV	1091291	assembled	chrXV	primary	XV,BK006948.2,NC_001147.6
chrXVI	948066	assembled	chrXVI	primary	XVI,BK006949.2,NC_001148.4
chrM	85779	assembled	chrM	non-nuclear	MT,Mito,AJ011856.1,NC_001224.1
