name	length	role	molecule	unit	aliases
chr1	248387328	assembled	chr1	primary	1,CP068277.2,NC_060925.1
chr2	242696752	assembled	chr2	primary	2,CP068276.2,NC_060926.1
chr3	201105948	assembled	chr3	primary	3,CP068275.2,NC_060927.1
chr4	193574945	assembled	chr4	primary	4,CP068274.2,NC_060928.1
chr5	182045439	assembled	chr5	primary	5,CP068273.2,NC_060929.1
chr6	172126628	assembled	chr6	primary	6,CP068272.2,NC_060930.1
chr7	160567428	assembled	chr7	primary	7,CP068271.2,NC_060931.1
chr8	146259331	assembled	chr8	primary	8,CP068270.2,NC_060932.1
chr9	150617247	assembled	chr9	primary	9,CP068269.2,NC_060933.1
chr10	134758134	assembled	chr10	primary	10,CP068268.2,NC_060934.1
chr11	135127769	assembled	chr11	primary	11,CP068267.2,NC_060935.1
chr12	133324548	assembled	chr12	primary	12,CP068266.2,NC_060936.1
chr13	113566686	assembled	chr13	primary	13,CP068265.2,NC_060937.1
chr14	101161492	assembled	chr14	primary	14,CP068264.2,NC_060938.1
chr15	99753195	assembled	chr15	primary	15,CP068263.2,NC_060939.1
chr16	96330374	assembled	chr16	primary	16,CP068262.2,NC_060940.1
chr17	84276897	assembled	chr17	primary	17,CP068261.2,NC_060941.1
chr18	80542538	assembled	chr18	primary	18,CP068260.2,NC_060942.1
chr19	61707364	assembled	chr19	primary	19,CP068259.2,NC_060943.1
chr20	66210255	assembled	chr20	primary	20,CP068258.2,NC_060944.1
chr21	45090682	assembled	chr21	primary	21,CP068257.2,NC_060945.1
chr22	51324926	assembled	chr22	primary	22,CP068256.2,NC_060946.1
chrX	154259566	assembled	chrX	primary	X,CP068255.2,NC_060947.1
chrY	62460029	assembled	chrY	primary	Y,CP086569.2,NC_060948.1
chrM	16569	assembled	chrM	non-nuclear	MT,CP068254.1
