name	length	type	molecule	unit	aliases
chr2L	23513712	assembled	chr2	primary	2L,NT_033779.5,AE014134.6
chr2R	25286936	assembled	chr2	primary	2R,NT_033778.4,AE013599.5
chr3L	28110227	assembled	chr3	primary	3L,NT_037436.4,AE014296.5
chr3R	32079331	assembled	chr3	primary	3R,NT_033777.3,AE014297.3
chr4	1348131	assembled	chr4	primary	4,NC_004353.4,AE014135.4
chrX	23542271	assembled	chrX	primary	X,NC_004354.4,AE014298.5
chrY	3667352	assembled	chrY	primary	Y,NC_024512.1,CP007106.1
chrM	19524	assembled	chrM	non-nuclear	MT,NC_024511.2,KJ947872.2
chrX_CP007103v1_random	33320	unlocalized	chrX	primary	NW_007931105.1,CP007103.1,X3X4_mapped_Scaffold_6
chrX_CP007104v1_random	27447	unlocalized	chrX	primary	NW_007931106.1,CP007104.1,X3X4_mapped_Scaffold_14
chrX_DS483648v1_random	13940	unlocalized	chrX	primary	NW_001844937.1,DS483648.1,211000022278498
chrX_DS483655v1_random	13549	unlocalized	chrX	primary	NW_001844944.1,DS483655.1,211000022279009
chrX_DS483660v1_random	13394	unlocalized	chrX	primary	NW_001844949.1,DS483660.1,211000022280042
chrX_DS483665v1_random	13234	unlocalized	chrX	primary	NW_001844954.1,DS483665.1,211000022279446
chrX_DS483666v1_random	13108	unlocalized	chrX	primary	NW_001844955.1,DS483666.1,211000022280270
chrX_DS483669v1_random	12848	unlocalized	chrX	primary	NW_001844958.1,DS483669.1,211000022279008
chrX_DS483685v1_random	12187	unlocalized	chrX	primary	NW_001844974.1,DS483685.1,211000022279676
chrX_DS483698v1_random	11522	unlocalized	chrX	primary	NW_001844987.1,DS483698.1,211000022279836
chrX_DS483745v1_random	9368	unlocalized	chrX	primary	NW_001845034.1,DS483745.1,211000022280526
chrX_DS483784v1_random	5832	unlocalized	chrX	primary	NW_001845073.1,DS483784.1,211000022279563
chrX_DS483789v1_random	5555	unlocalized	chrX	primary	NW_001845078.1,DS483789.1,211000022279955
chrX_DS483795v1_random	5387	unlocalized	chrX	primary	NW_001845084.1,DS483795.1,211000022280241
chrX_DS483803v1_random	5232	unlocalized	chrX	primary	NW_001845092.1,DS483803.1,211000022280466
chrX_DS483809v1_random	5057	unlocalized	chrX	primary	NW_001845098.1,DS483809.1,211000022279883
chrX_DS483818v1_random	4917	unlocalized	chrX	primary	NW_001845107.1,DS483818.1,211000022280649
chrX_DS483821v1_random	4879	unlocalized	chrX	primary	NW_001845110.1,DS483821.1,211000022280645
chrX_DS483843v1_random	4515	unlocalized	chrX	primary	NW_001845132.1,DS483843.1,211000022279705
chrX_DS483851v1_random	4395	unlocalized	chrX	primary	NW_001845140.1,DS483851.1,211000022280624
chrX_DS483885v1_random	4085	unlocalized	chrX	primary	NW_001845174.1,DS483885.1,211000022280479
chrX_DS483888v1_random	4072	unlocalized	chrX	primary	NW_001845177.1,DS483888.1,211000022280016
chrX_DS483892v1_random	4013	unlocalized	chrX	primary	NW_001845181.1,DS483892.1,211000022280529
