name	length	type	molecule	unit	aliases
chr1	58871917	assembled	chr1	primary	1,NC_007112.6,CM002885.1
chr2	59543403	assembled	chr2	primary	2,NC_007113.6,CM002886.1
chr3	62385949	assembled	chr3	primary	3,NC_007114.6,CM002887.1
chr4	76625712	assembled	chr4	primary	4,NC_007115.6,CM002888.1
chr5	71715914	assembled	chr5	primary	5,NC_007116.6,CM002889.1
chr6	60272633	assembled	chr6	primary	6,NC_007117.6,CM002890.1
chr7	74082188	assembled	chr7	primary	7,NC_007118.6,CM002891.1
chr8	54191831	assembled	chr8	primary	8,NC_007119.6,CM002892.1
chr9	56892771	assembled	chr9	primary	9,NC_007120.6,CM002893.1
chr10	45574255	assembled	chr10	primary	10,NC_007121.6,CM002894.1
chr11	45107271	assembled	chr11	primary	11,NC_007122.6,CM002895.1
chr12	49229541	assembled	chr12	primary	12,NC_007123.6,CM002896.1
chr13	51780250	assembled	chr13	primary	13,NC_007124.6,CM002897.1
chr14	51944548	assembled	chr14	primary	14,NC_007125.6,CM002898.1
chr15	47771147	assembled	chr15	primary	15,NC_007126.6,CM002899.1
chr16	55381981	assembled	chr16	primary	16,NC_007127.6,CM002900.1
chr17	53345113	assembled	chr17	primary	17,NC_007128.6,CM002901.1
chr18	51008593	assembled	chr18	primary	18,NC_007129.6,CM002902.1
chr19	48790377	assembled	chr19	primary	19,NC_007130.6,CM002903.1
chr20	55370968	assembled	chr20	primary	20,NC_007131.6,CM002904.1
chr21	45895719	assembled	chr21	primary	21,NC_007132.6,CM002905.1
chr22	39226288	assembled	chr22	primary	22,NC_007133.6,CM002906.1
chr23	46272358	assembled	chr23	primary	23,NC_007134.6,CM002907.1
chr24	42251103	assembled	chr24	primary	24,NC_007135.6,CM002908.1
chr25	36898761	assembled	chr25	primary	25,NC_007136.6,CM002909.1
chrM	16596	assembled	chrM	non-nuclear	MT,NC_002333.2
chrUn_KN149679v1	35552	unplaced		primary	NW_003043344.3,KN149679.1
chrUn_KN149680v1	38724	unplaced		primary	NW_003336264.2,KN149680.1
chrUn_KN149681v1	107758	unplaced		primary	NW_003051371.3,KN149681.1
chrUn_KN149682v1	137468	unplaced		primary	NW_001878251.4,KN149682.1
chrUn_KN149683v1	152860	unplaced		primary	NW_001884381.4,KN149683.1
chrUn_KN149684v1	159057	unplaced		primary	NW_001878128.4,KN149684.1
chrUn_KN149685v1	164780	unplaced		primary	NW_001884386.4,KN149685.1
chrUn_KN149686v1	260365	unplaced		primary	NW_003044888.3,KN149686.1
chrUn_KN149687v1	165668	unplaced		primary	NW_001884400.4,KN149687.1
chrUn_KN149688v1	252705	unplaced		primary	NW_001878118.4,KN149688.1
chrUn_KN149689v1	196689	unplaced		primary	NW_001879289.4,KN149689.1
chrUn_KN149690v1	343018	unplaced		primary	NW_001884413.3,KN149690.1
chrUn_KN149691v1	233193	unplaced		primary	NW_001884427.4,KN149691.1
chrUn_KN149692v1	36911	unplaced		primary	NW_001884442.4,KN149692.1
chrUn_KN149693v1	49295	unplaced		primary	NW_001884441.4,KN149693.1
chrUn_KN149694v1	162759	unplaced		primary	NW_001884444.4,KN149694.1
