name	length	type	molecule	unit	aliases
chr1	248956422	assembled	chr1	primary	1,CM000663.2,NC_000001.11
chr2	242193529	assembled	chr2	primary	2,CM000664.2,NC_000002.12
chr3	198295559	assembled	chr3	primary	3,CM000665.2,NC_000003.12
chr4	190214555	assembled	chr4	primary	4,CM000666.2,NC_000004.12
chr5	181538259	assembled	chr5	primary	5,CM000667.2,NC_000005.10
chr6	170805979	assembled	chr6	primary	6,CM000668.2,NC_000006.12
chr7	159345973	assembled	chr7	primary	7,CM000669.2,NC_000007.14
chr8	145138636	assembled	chr8	primary	8,CM000670.2,NC_000008.11
chr9	138394717	assembled	chr9	primary	9,CM000671.2,NC_000009.12
chr10	133797422	assembled	chr10	primary	10,CM000672.2,NC_000010.11
chr11	135086622	assembled	chr11	primary	11,CM000673.2,NC_000011.10
chr12	133275309	assembled	chr12	primary	12,CM000674.2,NC_000012.12
chr13	114364328	assembled	chr13	primary	13,CM000675.2,NC_000013.11
chr14	107043718	assembled	chr14	primary	14,CM000676.2,NC_000014.9
chr15	101991189	assembled	chr15	primary	15,CM000677.2,NC_000015.10
chr16	90338345	assembled	chr16	primary	16,CM000678.2,NC_000016.10
chr17	83257441	assembled	chr17	primary	17,CM000679.2,NC_000017.11
chr18	80373285	assembled	chr18	primary	18,CM000680.2,NC_000018.10
chr19	58617616	assembled	chr19	primary	19,CM000681.2,NC_000019.10
chr20	64444167	assembled	chr20	primary	20,CM000682.2,NC_000020.11
chr21	46709983	assembled	chr21	primary	21,CM000683.2,NC_000021.9
chr22	50818468	assembled	chr22	primary	22,CM000684.2,NC_000022.11
chrX	156040895	assembled	chrX	primary	X,CM000685.2,NC_000023.11
chrY	57227415	assembled	chrY	primary	Y,CM000686.2,NC_000024.10
chrM	16569	assembled	chrM	non-nuclear	MT,J01415.2,NC_012920.1
chr1_KI270706v1_random	175055	unlocalized	chr1	primary	HSCHR1_CTG1_UNLOCALIZED,KI270706.1,NT_187361.1
chr1_KI270707v1_random	32032	unlocalized	chr1	primary	HSCHR1_CTG2_UNLOCALIZED,KI270707.1,NT_187362.1
chr1_KI270708v1_random	127682	unlocalized	chr1	primary	HSCHR1_CTG3_UNLOCALIZED,KI270708.1,NT_187363.1
chr1_KI270709v1_random	66860	unlocalized	chr1	primary	HSCHR1_CTG4_UNLOCALIZED,KI270709.1,NT_187364.1
chr1_KI270710v1_random	40176	unlocalized	chr1	primary	HSCHR1_CTG5_UNLOCALIZED,KI270710.1,NT_187365.1
chr1_KI270711v1_random	42210	unlocalized	chr1	primary	HSCHR1_CTG6_UNLOCALIZED,KI270711.1,NT_187366.1
